Year,Month,Day,Location,Description,Credit,Clean_Description,Cluster,PC1,PC2
1540,Nov,26,Region of Calippus,Starlike appearance on dark side,Observers at Worms,starlik appear dark side,0,-0.10952767552188325,-0.04244255358560878
1587,Mar,5,Dark Side,A sterre is sene in the bodie of the moon vpon the (blank) of Marche-whereat many men merueiled-and not without cause-for it stode directly betwene the pointes of her hornes-the mone being chaunged-not passing 5 or 6 daies before.,Anonymous,sterr sene bodi moon vpon mani men without stode directli betwen point mone pass dai,0,-0.11946954725263523,-0.07454485376270384
1668,Nov,26,Dark Side,Bright starlike point,Several New Englanders,bright starlik point,0,0.10610984790181621,-0.07244576268358136
1671,Nov,12,Pitatus,Small whitish cloud,D.Cassini,small whitish cloud,0,-0.11825541130963996,-0.0728749125800271
1672,Feb,3,Mare Crisium,Nebulous appearance,D.Cassini,nebul appear,0,-0.12751287525279126,-0.06158459063114359
1673,Oct,18,Pitatus,White spot,D.Cassini,white spot,2,0.22064070068918162,-0.13870423631844034
1685,Dec,10,Plato,Reddish streak on crater floor seen during eclipse (lunar),Bianchini,reddish streak crater floor seen eclips,0,-0.16039460099184555,-0.145346057840563
1706,May,12,,Three sparkling spots,,three sparkl spot,0,0.08576714283482403,-0.08006479646186797
1715,May,3,,Lightning on the face of the moon. De Louville explained this as storms. Halley reference uses Old Style date.,Louville-Halley,lightn face de louvil explain halley refer use old style,0,-0.12127825100016551,-0.037690013486962305
1725,Aug,16,Plato,A track of ruddy light-like a beam-crossing the middle of the obscure (shadowed) area (crater in darkness),Bianchini,track ruddi middl obscur area,1,-0.1351816688791673,-0.08045816274516635
1738,Aug,4,,During solar eclipse-appearance like lightning on the face of the moon (Partial eclipse),Friend of Weidler,solar like lightn face moon,0,-0.10907904787995025,-0.07379346350278011
1751,Apr,22,Plato,Yellow streak of light across crater floor while crater was in darkness,Short-Stephens-Harris,yellow streak light across crater floor crater dark,0,-0.12914304727338402,-0.13099488913298665
1772,Oct,11,,Bright spot on disk of fully eclipsed moon,Beccarias nephew and niece,bright spot disk fulli eclips moon,2,0.24476377097646074,-0.10189142682340332
1774,Jul,25,Mare Crisium,Four bright spots. Peculiar behaviour of terminator,Eysenhard,four bright peculiar behaviour termin,0,0.0728069238375413,-0.030391545987376593
1778,Jun,14,NA: 1 12 min,During solar eclipse-observed spot near lunar limb almost as bright as sun,Ulloa,solar spot near lunar limb almost bright sun,0,0.14666394199096283,-0.08785026740272812
1783,Mar,18,,Moving glows around middle of disk during lunar eclipse,Messier,move glow around middl disk lunar eclips,0,-0.1435354787542752,-0.08193961985658284
1783,Mar,0,Near Aristarchus,Bright points seen during observation of star occultation,W.Herschel,bright point seen observ star occult,0,0.02620258388454859,-0.08674172046939278
1783,May,4,Aristarchus-vicinity,Red spot-4th mag-diameter <3,W.Herschel-Mrs Lind,red,0,-0.1875373035722392,-0.17640180180103548
1786,Dec,24,Aristarchus,Extraordinarily bright,Schroter,extraordinarili bright,0,0.1519522460175097,-0.024081751802585153
1787,Apr,19,Dark side,Three volcanoes. The brightest-3573 from N limb-the other two much farther toward the center of the moon,W.Herschel,three n two much farther toward center moon,0,-0.11658185767783637,-0.058579421735860705
1787,Apr,20,Dark side,Brightest volcano even brighter and at least 3 miles in diameter,W.Herschel,brightest volcano even brighter least mile diamet,0,-0.11894931046682866,-0.03983117839818087
1787,May,19,Aristarchus,Extraordinarily bright,von Bruhl,extraordinarili bright,0,0.1519522460175097,-0.024081751802585153
1788,Jan,11,Near Plato,Bright spot on dark side,Observers in Mannheim,bright spot dark side,2,0.4420120702878957,-0.04094365209208352
1788,Mar,9,Dark side,Bright spot,Schroter,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Mar,13,Riccioli,Bright spot,Schroter,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Mar,13,Helicon,Lunar volcano like 6th mag star,Nouet,lunar volcano like mag star,0,-0.09577547636203393,-0.12231863093815891
1788,Apr,9,Aristarchus: 1 hr,Extraordinarily bright,Bode,extraordinarili bright,0,0.1519522460175097,-0.024081751802585153
1788,Apr,9,Aristarchus,Bright spot 26 N of crater rim,Schroter-Bode,bright spot n crater rim,2,0.3680445648348735,-0.11412945881689066
1788,May,8,,Bright spots,Mechain,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,May,8,,Bright spots,Bode,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Aug,27,,Bright spot,Schroter,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Sep,26,N edge of Mare Crisium,Small nebulous bright spot,Schroter,small nebul bright spot,2,0.3148178363611272,-0.09964241424982805
1788,Sep,26,118 SE of Plato: 15 min,Whitish bright spot shining somewhat hazily and 4 to 5 in diameter-5th mag-SE of Plato in bright moiuntainous region bounding Mare Imbrium,Schroter,whitish bright spot shine somewhat hazili plato bright moiuntain region bound mare imbrium,0,0.20838857981431505,-0.055815228456481375
1788,Sep,26,Near Aristarchus: 30 min,Bright spot 26 N of main crater,Schroter,bright spot n main crater,2,0.5742060467842863,-0.14283181568025535
1788,Dec,2,Aristarchus,Extraordinarly bright-like star,Schroter,extraordinarli star,0,-0.09006840210742416,-0.08644082059221282
1788,Dec,11,Plato,Bright area-like thin white cloud,Schroter,bright thin white cloud,0,0.05626861046756891,-0.06290701617148356
1789,Jan,10,,Lunar volcano,Seyffer,lunar volcano,0,-0.13769543660045155,-0.07105308119467879
1789,Mar,29,Grimaldi-and near Riccioli,Two flickering spots on E edge of Grimaldi-and near Riccioli on dark side of moon a bright spot,Schroter,two flicker spot e edg near riccioli dark side moon bright spot,2,0.2592656788963326,-0.08916715555403924
1789,Mar,29,Aristarchus,Nebulous bright area,Schroter,nebul bright area,1,0.10532668691370987,-0.06164070598745885
1789,Mar,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode,brilliant spot near lumin spot dark side,2,0.21835659192948126,-0.1015179865826301
1789,Apr,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode,brilliant spot near lumin spot dark side,2,0.21835659192948126,-0.1015179865826301
1789,May,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode,brilliant spot near lumin spot dark side,2,0.21835659192948126,-0.1015179865826301
